191-noptp,191-unmanaged,191-ptp,203-noptp,203-unmanaged,203-ptp,234-noptp,234-unmanaged,234-ptp
0.0001481070536828964,-0.00012970554545454547,5.870420560747664e-6,-0.00039238410596026505,-0.00010347626931567329,7.140808988764045e-6,-0.0005397980572597137,-8.819087523277468e-5,7.81659229208925e-6
0.0001487324297188755,-0.0001304107306889353,5.872218045112783e-6,-0.00039606548856548855,-0.00010428852889667251,7.138009367681498e-6,-0.0005459701138519925,-8.836501687289089e-5,7.819244505494506e-6
0.00015068552927927927,-0.00013104833333333333,5.87375e-6,-0.00040099079457364337,-0.00010407600864553314,7.127210526315789e-6,-0.000552161921708185,-8.827752293577981e-5,7.82536214953271e-6
0.00015273821218074655,-0.00013154047535211268,5.865166051660516e-6,-0.000405922833935018,-0.00010385401459854014,7.093338788870703e-6,-0.0005596027454242928,-8.889280726256982e-5,7.8318e-6
0.00015327707006369427,-0.0001318146484375,5.866134453781512e-6,-0.00041084925249169424,-0.00010412394195888755,7.0863551401869155e-6,-0.0005658052507836989,-8.93282361308677e-5,7.828687898089172e-6
0.00015541463414634146,-0.0001323715746421268,5.8665737874097e-6,-0.00041577625570776255,-0.00010464720630372492,7.117254487856389e-6,-0.000572010788690476,-8.943567518248174e-5,7.828646616541353e-6
0.0001571470588235294,-0.00013222704918032787,5.8704225352112685e-6,-0.00041945885200553247,-0.00010543447037701976,7.12612202688728e-6,-0.0005794738700564972,-9.011373873873874e-5,7.817883720930233e-6
0.00015929160935350758,-0.00013236366445916115,5.8653046594982075e-6,-0.00042439791403286976,-0.00010574583333333333,7.094096209912536e-6,-0.0005856890161725066,-9.077959927140255e-5,7.78836784409257e-6
0.0001598346560846561,-0.00013299175588865096,5.866649746192893e-6,-0.00042933688147295756,-0.00010605263157894736,7.0868562564632885e-6,-0.0005919037723785166,-9.140177252584934e-5,7.809094594594594e-6
0.0001618898456057007,-0.00013368968879668049,5.876834016393443e-6,-0.0004342740498812351,-0.00010658716216216217,7.129674074074073e-6,-0.0005993704490291263,-9.109563543003851e-5,7.818329326923078e-6
0.00016385300668151446,-0.00013438527724665393,5.8697e-6,-0.0004391875825627478,-0.00010736130334486735,7.122716049382715e-6,-0.0006055891628440368,-9.173781902552204e-5,7.85474358974359e-6
0.00016446956264775414,-0.00013480071929824564,5.871452631578948e-6,-0.00044282282282282273,-0.00010787781249999999,7.099572901325479e-6,-0.0006118023917995445,-9.213684913217623e-5,7.848471023427866e-6
0.00016656929347826088,-0.00013507505494505495,5.8799408284023674e-6,-0.00044766534391534377,-0.00010740267459138187,7.132704174228675e-6,-0.0006192664670658682,-9.233029453015427e-5,7.838778920308483e-6
0.0001683210455764075,-0.00013569819022457067,5.867954285714286e-6,-0.0004524279953917051,-0.00010769324577861164,7.141277533039648e-6,-0.00062546974522293,-9.294892996108949e-5,7.852504504504505e-6
0.0001692144495412844,-0.00013576268264840183,5.830819672131147e-6,-0.00045718979779411765,-0.00010826367187499999,7.117325456498389e-6,-0.000631668918918919,-9.312072018890201e-5,7.805553021664765e-6
0.00017094521604938274,-0.00013582719230769233,5.841395833333333e-6,-0.00046202462121212114,-0.0001088159509202454,7.12727078891258e-6,-0.0006391074020319302,-9.305604838709678e-5,7.816902564102564e-6
0.00017181440903054447,-0.00013638285921625543,5.828387484957882e-6,-0.0004669038461538463,-0.00010934830402010051,7.097701793721973e-6,-0.0006452830188679243,-9.342869565217391e-5,7.845181598062954e-6
0.0001736159090909091,-0.00013680390243902437,5.846416065911432e-6,-0.0004705615124153497,-0.00010987044653349001,7.096639344262295e-6,-0.0006514469178082194,-9.436645785876994e-5,7.850762331838564e-6
0.0001756455399061033,-0.00013701851219512194,5.857767653758542e-6,-0.0004754419525065962,-0.0001101474175035868,7.0886821705426355e-6,-0.0006588438086303941,-9.504866888519135e-5,7.828569636135508e-6
0.00017636086474501108,-0.00013765637515842838,5.873075630252101e-6,-0.00048026871019108265,-0.00011093888888888889,7.1032945091514145e-6,-0.0006649390951276102,-9.542838541666668e-5,7.842119460500964e-6
0.0001782229809976247,-0.00013822929065743944,5.877764317180617e-6,-0.00048498197115384614,-0.00011075357142857143,7.106447368421053e-6,-0.0006710420892494929,-9.562088235294117e-5,7.854029411764705e-6
0.00018032871198568875,-0.00013854327181208055,5.846486220472441e-6,-0.0004896639784946236,-0.00011081288819875777,7.153111480865225e-6,-0.0006784273465703971,-9.632025411061285e-5,7.82718651211802e-6
0.00018083220108695654,-0.00013884217934165722,5.8671207430340555e-6,-0.0004944718309859155,-0.000110846547314578,7.145862068965517e-6,-0.0006845806320907618,-9.696229338842975e-5,7.854949748743719e-6
0.00018297976011994002,-0.00013935493333333334,5.869065789473684e-6,-0.0004980931712962964,-0.00011162216924910609,7.162065637065637e-6,-0.0006907430959302327,-9.763558201058202e-5,7.856958290946083e-6
0.00018472730891719744,-0.00013953306240928884,5.866584362139918e-6,-0.0005029543984476068,-0.00011215007320644217,7.164702774108322e-6,-0.0006981795634920635,-9.80872801082544e-5,7.84980854197349e-6
0.00018558795103092783,-0.00013976179562043796,5.8655069124423965e-6,-0.0005077351485148515,-0.00011294561068702289,7.185651214128035e-6,-0.0007043704819277108,-9.873398169336385e-5,7.857940161104717e-6
0.00018742802303262955,-0.00013943932038834952,5.865701657458563e-6,-0.0005123374200426438,-0.0001135234962406015,7.168878378378378e-6,-0.0007105700778642938,-9.914071038251367e-5,7.848477722772277e-6
0.00018942145270270272,-0.00014065754098360655,5.845860215053763e-6,-0.0005170365384615384,-0.00011432761087267526,7.1666257668711655e-6,-0.0007180108827085853,-9.908957219251337e-5,7.819984894259819e-6
0.00019021421370967744,-0.00014095306886227545,5.847892976588629e-6,-0.0005206093189964159,-0.00011486343115124154,7.185503355704698e-6,-0.0007241865869853916,-9.948352272727273e-5,7.840048192771084e-6
0.0001920217803030303,-0.00014140766233766236,5.854032496307238e-6,-0.0005254541015625,-0.0001153920138888889,7.206008583690987e-6,-0.000730349560761347,-0.0001001417704011065,7.856336429308566e-6
0.00019417069243156198,-0.00014178089874857793,5.86655737704918e-6,-0.0005301804347826087,-0.00011543513513513513,7.176340956340956e-6,-0.0007377401477832513,-0.00010084695817490494,7.855e-6
0.00019467943854324733,-0.00014179979130434783,5.851968190854871e-6,-0.0005347211720226842,-0.00011601138613861387,7.137489130434782e-6,-0.0007438545539033457,-0.00010126912045889101,7.851380753138076e-6
0.00019682147562582344,-0.00014218702702702702,5.8570091556459815e-6,-0.0005394484289617486,-0.00011657200886262925,7.1489324324324325e-6,-0.000749912330316742,-0.00010091257911392405,7.839170124481328e-6
0.00019867112810707457,-0.00014269428399518654,5.847529665587918e-6,-0.0005442836257309942,-0.00011685917159763313,7.145636766334441e-6,-0.0007572422928709055,-0.00010086542792792793,7.868576779026217e-6
0.00019943385650224215,-0.0001427785254237288,5.869808823529411e-6,-0.000549046511627907,-0.00011738814016172506,7.146450617283951e-6,-0.0007633678209459458,-0.00010106375579598144,7.837727272727272e-6
0.0002015264650283554,-0.00014350542635658916,5.855240384615385e-6,-0.0005523289473684211,-0.00011793818681318681,7.153150242326333e-6,-0.0007695172155688624,-0.00010120623742454727,7.858158205430932e-6
0.00020207046979865773,-0.00014408101055806937,5.86664943123061e-6,-0.0005569803571428573,-0.00011852772643253234,7.14708245243129e-6,-0.0007769360776439089,-0.00010288971583220568,7.857585071350164e-6
0.00020424303519061583,-0.00014472009345794392,5.840248306997742e-6,-0.0005617943548387096,-0.00011858649932157395,7.194432132963989e-6,-0.0007831234793187348,-0.00010360330073349634,7.856040126715944e-6
0.00020603288364249577,-0.00014535256000000003,5.866752049180328e-6,-0.0005665345368916798,-0.00011937015276145712,7.2021387283236995e-6,-0.0007893213489409141,-0.00010430245901639345,7.85520908004779e-6
0.00020688176895306858,-0.00014605432853717027,5.860736607142857e-6,-0.0005710225,-0.00011965891472868216,7.198531994981179e-6,-0.0007967644404332131,-0.0001049595286885246,7.855126658624849e-6
0.00020886865342163355,-0.00014626556103575832,5.839444444444444e-6,-0.0005756901217861975,-0.00012023291571753986,7.21734273318872e-6,-0.0008029436015831134,-0.00010540065982404692,7.857729789590255e-6
